timestamp,client_ip,query_domain,query_type,response_code,bytes_out
2026-06-10 07:30:26,192.168.1.12,copilot.github.com,A,NOERROR,1921
2026-06-10 07:30:44,192.168.1.21,www.linkedin.com,A,NOERROR,1495
2026-06-10 07:31:18,192.168.1.61,confluence.atlassian.com,CNAME,NOERROR,2238
2026-06-10 07:31:35,192.168.1.61,confluence.atlassian.com,A,NOERROR,525
2026-06-10 07:32:48,192.168.1.40,gemini.google.com,CNAME,NOERROR,2645
2026-06-10 07:34:30,192.168.1.51,cloudflare.com,A,NOERROR,2940
2026-06-10 07:36:09,192.168.1.21,amazon.com,CNAME,NOERROR,263
2026-06-10 07:36:16,192.168.1.50,s3.amazonaws.com,A,NOERROR,2511
2026-06-10 07:36:26,192.168.1.51,cloudflare.com,AAAA,NOERROR,2498
2026-06-10 07:37:23,192.168.1.30,zoom.us,AAAA,NOERROR,1449
2026-06-10 07:37:27,192.168.1.20,salesforce.com,A,NOERROR,1193
2026-06-10 07:38:00,192.168.1.51,mail.google.com,A,NOERROR,2907
2026-06-10 07:38:26,192.168.1.61,otter.ai,CNAME,NOERROR,3727
2026-06-10 07:38:55,192.168.1.11,login.salesforce.com,A,NOERROR,1598
2026-06-10 07:38:57,192.168.1.13,mail.google.com,A,NOERROR,2121
2026-06-10 07:39:36,192.168.1.11,confluence.atlassian.com,A,NOERROR,1084
2026-06-10 07:40:19,192.168.1.60,outlook.office365.com,A,NOERROR,1877
2026-06-10 07:40:33,192.168.1.12,confluence.atlassian.com,CNAME,NOERROR,1446
2026-06-10 07:41:31,192.168.1.10,youtube.com,A,NOERROR,1274
2026-06-10 07:41:41,192.168.1.13,ocsp.digicert.com,CNAME,NXDOMAIN,1271
2026-06-10 07:42:26,192.168.1.20,github.com,A,NOERROR,1535
2026-06-10 07:42:56,192.168.1.10,youtube.com,CNAME,NOERROR,2294
2026-06-10 07:43:03,192.168.1.10,8.8.8.8.in-addr.arpa,A,NOERROR,911
2026-06-10 07:43:23,192.168.1.31,character.ai,A,NOERROR,4121
2026-06-10 07:43:25,192.168.1.13,www.google.com,A,NOERROR,1668
