# Project Compass Demo Firewall Log
# Format: timestamp,device,src_ip,dst_ip,src_port,dst_port,protocol,app,action,rule,bytes,threat,category,risk_level
2026-06-03T09:00:22Z,fw-edge-01,10.24.8.22,184.94.97.102,59308,443,tcp,unknown-tcp,reset-both,AI-Unknown-Block,72186,none,Unknown AI,unknown
2026-06-03T09:01:01Z,fw-edge-01,10.24.20.99,220.72.203.121,65114,8443,tcp,ssl,allow,AI-Monitored-Allow,188544,none,AI Search,medium
2026-06-03T09:02:13Z,fw-edge-01,10.24.8.22,60.196.141.170,61390,8443,tcp,ssl,allow,AI-Monitored-Allow,422365,none,AI Search,medium
2026-06-03T09:03:05Z,fw-edge-01,10.24.10.44,47.34.46.161,61280,443,tcp,ssl,allow,AI-Monitored-Allow,471638,none,AI Assistant,medium
2026-06-03T09:04:02Z,fw-edge-01,10.24.8.22,90.186.229.152,61656,443,tcp,ssl,allow,AI-Monitored-Allow,322815,none,AI Assistant,medium
2026-06-03T09:05:06Z,fw-edge-01,10.24.8.15,164.22.199.199,52245,8443,tcp,ssl,allow,AI-Monitored-Allow,319630,none,AI Assistant,medium
2026-06-03T09:06:08Z,fw-edge-01,10.24.8.22,52.166.188.23,60238,8443,tcp,ssl,deny,AI-High-Risk-Review,40620,policy-violation,Audio Generation,high
2026-06-03T09:07:21Z,fw-edge-01,10.24.8.15,166.206.118.58,55450,8443,tcp,ms-copilot,allow,AI-Monitored-Allow,473218,none,AI Assistant,low
2026-06-03T09:08:12Z,fw-edge-01,10.24.8.22,162.151.82.209,55331,443,tcp,ssl,allow,AI-Monitored-Allow,405566,none,Productivity,low
2026-06-03T09:09:19Z,fw-edge-01,10.24.8.22,37.64.28.36,50118,8443,tcp,ssl,allow,AI-Monitored-Allow,772713,none,AI Assistant,medium
2026-06-03T09:10:30Z,fw-edge-01,10.24.8.15,87.144.215.177,59995,443,tcp,ssl,allow,AI-Monitored-Allow,424325,none,AI Assistant,medium
2026-06-03T09:11:05Z,fw-edge-01,10.24.8.22,174.196.65.47,52984,80,tcp,ms-copilot,allow,AI-Monitored-Allow,608541,none,AI Assistant,low
2026-06-03T09:12:12Z,fw-edge-01,10.24.10.44,85.64.146.60,57720,443,tcp,github,allow,AI-Monitored-Allow,753146,none,Developer Tools,low
2026-06-03T09:13:19Z,fw-edge-01,10.24.9.31,95.32.113.40,53791,443,tcp,unknown-tcp,deny,AI-Unknown-Block,847678,none,Unknown AI,unknown
2026-06-03T09:14:25Z,fw-edge-01,10.24.10.44,221.215.65.191,50704,443,tcp,ssl,allow,AI-Monitored-Allow,677023,none,AI Search,medium
2026-06-03T09:15:03Z,fw-edge-01,10.24.20.99,180.64.206.156,53217,443,tcp,ms-copilot,allow,AI-Monitored-Allow,440675,none,AI Assistant,low
2026-06-03T09:16:29Z,fw-edge-01,10.24.8.22,236.194.19.101,64903,80,tcp,github,allow,AI-Monitored-Allow,879659,none,Developer Tools,low
2026-06-03T09:17:16Z,fw-edge-01,10.24.8.15,49.141.163.195,51865,443,tcp,github,allow,AI-Monitored-Allow,147067,none,Developer Tools,low
2026-06-03T09:18:26Z,fw-edge-01,10.24.9.31,224.184.148.63,65260,443,tcp,ssl,deny,AI-High-Risk-Review,835740,none,Image Generation,high
2026-06-03T09:19:07Z,fw-edge-01,10.24.8.22,130.29.139.169,64053,443,tcp,ssl,allow,AI-Monitored-Allow,310775,none,AI Assistant,medium
2026-06-03T09:20:14Z,fw-edge-01,10.24.8.15,192.58.198.54,50368,80,tcp,ssl,allow,AI-Monitored-Allow,327242,none,AI Search,medium
2026-06-03T09:21:26Z,fw-edge-01,10.24.9.31,44.121.139.43,60692,443,tcp,ssl,allow,AI-Monitored-Allow,126813,none,AI Assistant,medium
2026-06-03T09:22:26Z,fw-edge-01,10.24.9.31,155.176.29.156,64371,8443,tcp,ssl,allow,AI-Monitored-Allow,773348,none,AI Assistant,medium
2026-06-03T09:23:18Z,fw-edge-01,10.24.8.15,121.193.68.125,54208,443,tcp,unknown-tcp,deny,AI-Unknown-Block,121108,none,Unknown AI,unknown
2026-06-03T09:24:03Z,fw-edge-01,10.24.8.15,62.96.201.32,64268,443,tcp,google-drive,allow,AI-Monitored-Allow,537925,none,Cloud Storage,medium
2026-06-03T09:25:03Z,fw-edge-01,10.24.8.15,211.57.183.65,57927,443,tcp,ms-copilot,allow,AI-Monitored-Allow,119138,none,AI Assistant,low
2026-06-03T09:26:02Z,fw-edge-01,10.24.10.44,145.107.109.189,55622,443,tcp,ssl,allow,AI-Monitored-Allow,898130,none,AI Search,medium
2026-06-03T09:27:25Z,fw-edge-01,10.24.10.44,226.92.73.35,60005,443,tcp,ms-copilot,allow,AI-Monitored-Allow,475741,none,AI Assistant,low
2026-06-03T09:28:30Z,fw-edge-01,10.24.20.99,38.115.57.138,49231,443,tcp,ssl,allow,AI-Monitored-Allow,450518,none,AI Search,medium
2026-06-03T09:29:08Z,fw-edge-01,10.24.8.15,66.87.236.20,49375,80,tcp,ssl,allow,AI-Monitored-Allow,644206,none,AI Assistant,medium
2026-06-03T09:30:22Z,fw-edge-01,10.24.9.31,41.93.21.188,58631,443,tcp,github,allow,AI-Monitored-Allow,835815,none,Developer Tools,low
2026-06-03T09:31:28Z,fw-edge-01,10.24.10.44,34.188.24.136,60911,443,tcp,openai-api,allow,AI-Monitored-Allow,252513,none,AI API,medium
2026-06-03T09:32:30Z,fw-edge-01,10.24.8.15,75.141.162.100,57387,443,tcp,ssl,allow,AI-Monitored-Allow,652545,none,AI Assistant,medium
2026-06-03T09:33:16Z,fw-edge-01,10.24.8.22,60.41.64.128,56872,443,tcp,ssl,allow,AI-Monitored-Allow,315059,none,AI Assistant,medium
2026-06-03T09:34:11Z,fw-edge-01,10.24.20.99,226.158.231.85,52152,80,tcp,ssl,allow,AI-Monitored-Allow,98411,none,Productivity,low
2026-06-03T09:35:18Z,fw-edge-01,10.24.10.44,182.236.124.84,60050,8443,tcp,unknown-tcp,reset-both,AI-Unknown-Block,859501,none,Unknown AI,unknown
2026-06-03T09:36:26Z,fw-edge-01,10.24.8.22,185.225.142.134,61628,443,tcp,github,allow,AI-Monitored-Allow,306102,none,Developer Tools,low
2026-06-03T09:37:04Z,fw-edge-01,10.24.9.31,152.194.171.43,54150,80,tcp,github,allow,AI-Monitored-Allow,602590,none,Developer Tools,low
2026-06-03T09:38:01Z,fw-edge-01,10.24.20.99,128.30.81.20,64750,443,tcp,ms-copilot,allow,AI-Monitored-Allow,779431,none,AI Assistant,low
2026-06-03T09:39:22Z,fw-edge-01,10.24.20.99,123.189.192.85,51268,8443,tcp,ssl,allow,AI-Monitored-Allow,227640,none,AI Assistant,medium
2026-06-03T09:40:17Z,fw-edge-01,10.24.10.44,110.197.64.32,51400,80,tcp,ssl,allow,AI-Monitored-Allow,603530,none,AI Assistant,medium
2026-06-03T09:41:20Z,fw-edge-01,10.24.8.15,65.93.25.140,57269,443,tcp,openai-api,allow,AI-Monitored-Allow,291239,none,AI API,medium
2026-06-03T09:42:07Z,fw-edge-01,10.24.10.44,194.216.168.118,49213,80,tcp,ssl,allow,AI-Monitored-Allow,336867,none,AI Search,medium
2026-06-03T09:43:18Z,fw-edge-01,10.24.8.15,233.176.232.183,56274,443,tcp,ssl,deny,AI-High-Risk-Review,278779,none,Image Generation,high
2026-06-03T09:44:24Z,fw-edge-01,10.24.10.44,137.136.158.228,59916,80,tcp,github,allow,AI-Monitored-Allow,543921,none,Developer Tools,low
2026-06-03T09:45:03Z,fw-edge-01,10.24.8.15,123.96.30.61,57977,443,tcp,ssl,allow,AI-Monitored-Allow,827558,none,AI Assistant,medium
2026-06-03T09:46:22Z,fw-edge-01,10.24.9.31,209.21.19.123,54921,443,tcp,ssl,allow,AI-High-Risk-Review,344489,none,Image Generation,high
2026-06-03T09:47:28Z,fw-edge-01,10.24.9.31,83.222.201.57,58073,443,tcp,ms-copilot,allow,AI-Monitored-Allow,468859,none,AI Assistant,low
2026-06-03T09:48:06Z,fw-edge-01,10.24.9.31,189.79.146.202,50626,443,tcp,ssl,allow,AI-Monitored-Allow,244277,none,AI Assistant,medium
2026-06-03T09:49:30Z,fw-edge-01,10.24.8.15,87.201.76.118,60835,443,tcp,github,allow,AI-Monitored-Allow,459568,none,Developer Tools,low
