# Project Compass Demo Proxy Log
# Format: timestamp,src_ip,user,http_method,url,status,bytes_sent,bytes_received,user_agent,category,risk_level,policy_action
2026-06-03T09:00:23Z,10.24.10.44,rpatel,CONNECT,https://drive.google.com/generate,403,3541,267734,"Python-Requests/2.32",Cloud Storage,medium,allowed
2026-06-03T09:01:01Z,10.24.9.31,mchen,POST,https://perplexity.ai/v1/completions,200,9157,34568,"Python-Requests/2.32",AI Search,medium,allowed
2026-06-03T09:01:54Z,10.24.20.99,guest,GET,https://elevenlabs.io/,403,8270,158971,"Edge/125.0",Audio Generation,high,blocked
2026-06-03T09:03:07Z,10.24.10.44,rpatel,CONNECT,https://midjourney.com/upload,403,6169,298621,"Python-Requests/2.32",Image Generation,high,blocked
2026-06-03T09:03:41Z,10.24.8.15,jdoe,POST,https://elevenlabs.io/login,200,2363,258539,"Firefox/126.0",Audio Generation,high,review_required
2026-06-03T09:04:47Z,10.24.8.15,jdoe,GET,https://claude.ai/generate,403,4172,98891,"Python-Requests/2.32",AI Assistant,medium,allowed
2026-06-03T09:05:53Z,10.24.9.31,mchen,GET,https://gemini.google.com/generate,429,1640,285649,"Edge/125.0",AI Assistant,medium,review_required
2026-06-03T09:06:32Z,10.24.8.22,asmith,POST,https://notion.so/v1/completions,200,5796,91456,"Firefox/126.0",Productivity,low,allowed
2026-06-03T09:07:34Z,10.24.9.31,mchen,GET,https://api.openai.com/v1/completions,200,4598,193844,"Python-Requests/2.32",AI API,medium,allowed
2026-06-03T09:08:23Z,10.24.8.22,asmith,CONNECT,https://copilot.microsoft.com/v1/completions,403,6182,193144,"Python-Requests/2.32",AI Assistant,low,allowed
2026-06-03T09:09:14Z,10.24.8.15,jdoe,POST,https://github.com/v1/completions,200,2310,308084,"Edge/125.0",Developer Tools,low,allowed
2026-06-03T09:10:12Z,10.24.10.44,rpatel,CONNECT,https://notion.so/api/chat,200,5091,96263,"Firefox/126.0",Productivity,low,allowed
2026-06-03T09:11:00Z,10.24.20.99,guest,POST,https://drive.google.com/upload,429,1198,293597,"Firefox/126.0",Cloud Storage,medium,allowed
2026-06-03T09:12:01Z,10.24.8.15,jdoe,CONNECT,https://chat.openai.com/upload,429,4309,68772,"Python-Requests/2.32",AI Assistant,medium,allowed
2026-06-03T09:13:01Z,10.24.10.44,rpatel,POST,https://notion.so/api/chat,429,6712,347662,"Python-Requests/2.32",Productivity,low,review_required
2026-06-03T09:14:07Z,10.24.10.44,rpatel,POST,https://elevenlabs.io/generate,200,5508,344358,"Chrome/125.0",Audio Generation,high,review_required
2026-06-03T09:14:55Z,10.24.9.31,mchen,POST,https://copilot.microsoft.com/generate,200,814,80547,"Python-Requests/2.32",AI Assistant,low,review_required
2026-06-03T09:15:42Z,10.24.20.99,guest,CONNECT,https://notion.so/upload,302,1819,185598,"Python-Requests/2.32",Productivity,low,review_required
2026-06-03T09:16:34Z,10.24.20.99,guest,CONNECT,https://api.openai.com/settings,403,8072,195293,"Firefox/126.0",AI API,medium,allowed
2026-06-03T09:17:27Z,10.24.9.31,mchen,POST,https://copilot.microsoft.com/login,200,5027,49140,"Python-Requests/2.32",AI Assistant,low,review_required
2026-06-03T09:18:39Z,10.24.9.31,mchen,GET,https://copilot.microsoft.com/upload,200,8462,118461,"Edge/125.0",AI Assistant,low,review_required
2026-06-03T09:19:40Z,10.24.8.15,jdoe,CONNECT,https://copilot.microsoft.com/login,200,5932,280201,"Edge/125.0",AI Assistant,low,allowed
2026-06-03T09:20:19Z,10.24.20.99,guest,GET,https://github.com/generate,302,3712,83444,"Edge/125.0",Developer Tools,low,allowed
2026-06-03T09:21:30Z,10.24.8.22,asmith,GET,https://elevenlabs.io/v1/completions,302,2482,175325,"Chrome/125.0",Audio Generation,high,allowed
2026-06-03T09:22:24Z,10.24.9.31,mchen,GET,https://notion.so/login,403,4874,319245,"Firefox/126.0",Productivity,low,review_required
2026-06-03T09:23:11Z,10.24.8.22,asmith,CONNECT,https://github.com/generate,302,4873,39320,"Firefox/126.0",Developer Tools,low,allowed
2026-06-03T09:24:09Z,10.24.10.44,rpatel,GET,https://elevenlabs.io/login,200,8178,61124,"Edge/125.0",Audio Generation,high,review_required
2026-06-03T09:24:54Z,10.24.8.15,jdoe,GET,https://claude.ai/,200,4199,150713,"Chrome/125.0",AI Assistant,medium,allowed
2026-06-03T09:25:41Z,10.24.10.44,rpatel,POST,https://notion.so/generate,403,5847,87148,"Firefox/126.0",Productivity,low,review_required
2026-06-03T09:26:39Z,10.24.9.31,mchen,GET,https://drive.google.com/generate,200,9012,342308,"Edge/125.0",Cloud Storage,medium,allowed
2026-06-03T09:27:34Z,10.24.8.15,jdoe,POST,https://notion.so/upload,429,5865,342729,"Python-Requests/2.32",Productivity,low,allowed
2026-06-03T09:28:36Z,10.24.8.22,asmith,CONNECT,https://claude.ai/generate,200,6646,58262,"Firefox/126.0",AI Assistant,medium,review_required
2026-06-03T09:29:25Z,10.24.9.31,mchen,CONNECT,https://elevenlabs.io/login,200,5390,247046,"Edge/125.0",Audio Generation,high,allowed
2026-06-03T09:30:16Z,10.24.8.22,asmith,GET,https://chat.openai.com/api/chat,429,7864,83839,"Chrome/125.0",AI Assistant,medium,allowed
2026-06-03T09:31:28Z,10.24.20.99,guest,CONNECT,https://midjourney.com/login,403,9355,244536,"Edge/125.0",Image Generation,high,allowed
2026-06-03T09:32:22Z,10.24.10.44,rpatel,POST,https://api.openai.com/upload,200,4006,80223,"Edge/125.0",AI API,medium,review_required
2026-06-03T09:33:03Z,10.24.9.31,mchen,POST,https://midjourney.com/generate,403,3083,348290,"Edge/125.0",Image Generation,high,blocked
2026-06-03T09:34:06Z,10.24.8.15,jdoe,CONNECT,https://notion.so/,302,2091,141186,"Edge/125.0",Productivity,low,review_required
2026-06-03T09:34:56Z,10.24.9.31,mchen,POST,https://gemini.google.com/generate,200,2613,293093,"Chrome/125.0",AI Assistant,medium,allowed
2026-06-03T09:36:01Z,10.24.8.22,asmith,GET,https://midjourney.com/generate,302,1413,349153,"Firefox/126.0",Image Generation,high,review_required
2026-06-03T09:36:48Z,10.24.10.44,rpatel,CONNECT,https://elevenlabs.io/v1/completions,200,7227,195377,"Python-Requests/2.32",Audio Generation,high,review_required
2026-06-03T09:37:44Z,10.24.20.99,guest,POST,https://chat.openai.com/login,200,6161,163907,"Chrome/125.0",AI Assistant,medium,allowed
2026-06-03T09:38:37Z,10.24.10.44,rpatel,GET,https://unknown-ai-tool.example/,200,5357,44351,"Chrome/125.0",Unknown AI,unknown,review_required
2026-06-03T09:39:33Z,10.24.9.31,mchen,POST,https://github.com/login,200,3750,17572,"Edge/125.0",Developer Tools,low,allowed
